degree,mean,std,minimum,maximum
1,1.0,0.0,1.0,1.0
2,0.500294241149786,0.0006820991810440337,0.49999999999999933,0.5029483045101808
3,0.36136145412934767,0.005057779039872666,0.35127576277421685,0.37633116044838794
4,0.2998894599718395,0.0075396785926916616,0.2833645206386475,0.3220493317547289
5,0.2611309932540492,0.006199663813162521,0.25001014846599856,0.27657742176491057
6,0.23781282242027352,0.0066167543455139324,0.22191354593121804,0.2544022948852172
7,0.2189469091632851,0.006848883860506856,0.20120109309623968,0.2358960322583507
8,0.20462032517660078,0.006915185720480692,0.18548603113327844,0.22155329273723473
9,0.19329847526875713,0.005842920250424926,0.1771497015836925,0.20603307157447756
10,0.18347062290269167,0.006537745715646589,0.16365309521480512,0.19782675851181555
11,0.17571919513884818,0.005438131972082092,0.15955223987548708,0.18906778428542015
12,0.1705061373760023,0.006155677147226156,0.15023941521606035,0.183235421675826
13,0.16317772614594642,0.005415022483296253,0.1526860460484611,0.17912826723476774
14,0.1595348315055637,0.005536625165832754,0.14275302615330657,0.1714121128527745
15,0.1550716489407615,0.0050035594443032455,0.14389768484817067,0.16596625165307502
16,0.15127112988863003,0.005369314038814287,0.13182183501044242,0.16343224903110723
17,0.14842540446788197,0.0046741033414132325,0.13502209812099739,0.15715291775957207
18,0.14505079524256678,0.005277129175132543,0.1294955151015372,0.15547304003076262
19,0.14244181096631844,0.004387410404275189,0.13183457524374476,0.15236759833601077
20,0.14034216272831426,0.005335221269082551,0.12922056576351149,0.15388164121280648
21,0.13940593886717673,0.005292786782129446,0.1253747071562736,0.15104085056572908
22,0.13678176757631938,0.00518194195320986,0.1256037625110467,0.15072527173769276
23,0.13551422102036464,0.0043740829932462375,0.12552777787029012,0.1459841767187231
24,0.1338236952695631,0.004849555630417721,0.12024711042885318,0.14568392390226337
25,0.13386895372346577,0.004742773899962584,0.12258601644283933,0.14688786991208372
26,0.1328221139701453,0.004413062454371246,0.11868047955109354,0.14428082245765209
27,0.13188024256505387,0.004729113996560778,0.11966946774878764,0.14225427101699964
28,0.13150546442682126,0.004835611864921781,0.11299847585787876,0.14306611587236498
29,0.13040220999449964,0.004193996871803301,0.11821103778116154,0.13927928372060883
30,0.13001973924139829,0.004777879037823174,0.11939161628595829,0.14041801671490256
31,0.1307623142579339,0.004481235195067092,0.11704427628895782,0.14129153813427892
32,0.13049866345042044,0.004555589910222046,0.11773093024405704,0.14110359979482529
33,0.13108624498091154,0.005062959524961056,0.12090269157759409,0.1437387151773899
34,0.1310551770181203,0.004498144399739192,0.11994399088625782,0.14171155461337992
35,0.1320939141925704,0.005272677899177043,0.1204747121475451,0.14373461512396732
36,0.13416840655219067,0.004382735608485446,0.12080452805023628,0.14171161884177497
37,0.13417465952621224,0.004402729468768638,0.1223564887308711,0.14437020667138725
38,0.13625734908330722,0.0046493430880770875,0.12591724360097964,0.14975806210546366
39,0.13622610584305325,0.004357141192803514,0.12647918469867156,0.14610523800029782
40,0.13886973786470802,0.004364111437914279,0.12346933854761032,0.15051894136358446
41,0.14076204391914426,0.004742014949114225,0.12703067179270774,0.15162773032304078
42,0.1432821335433573,0.004742804363902355,0.13089754658603028,0.1524301022389346
43,0.14640824866754978,0.005116926849795568,0.13476016548349415,0.1597602710246006
44,0.14977975850056113,0.005164918986520477,0.13413778824538633,0.15983903511121203
45,0.15311244108023467,0.004796761055752222,0.14340845837926894,0.1673629161768981
46,0.1574186409039377,0.004117132922868134,0.14683355457548447,0.16710496889299936
47,0.16250281009323994,0.004818192355514357,0.14944547185979964,0.17365260154966447
48,0.16853908794488193,0.004595981867431354,0.15548049042611575,0.1769073540840747
49,0.17570318040700936,0.004843548684837772,0.16272784441176122,0.18755984922956825
50,0.18484353571784762,0.005047532108629744,0.1713589165636222,0.19716638707005837
51,0.19749116690893626,0.0045510156401117234,0.18684653068469495,0.20723511128894817
52,0.21194456259407143,0.004767588123488421,0.2022441196495138,0.22462607958776862
53,0.23360308604459154,0.0036768585316059067,0.22132149573042048,0.24261023033868417
54,0.26682477916901115,0.0035475887578883115,0.2577501329410485,0.2751048912111161
55,0.33364720222703603,0.0005585337898236723,0.3333333333333326,0.33464112039042804
56,0.4999999999999982,1.1102230246251565e-16,0.4999999999999981,0.4999999999999981
57,0.9999999999999751,2.220446049250313e-16,0.9999999999999754,0.9999999999999754
